ofteco	kategorio	tipo	Usonangla radikvorto (Longe / sinonimo / alternativo) (tipo)	Longe / sinonimo / alternativo	EO preferata termino	fonto EO	fonto 2 EO	fonto 3 EO	fonto 4 EO	EO alternativo 1	fonto EO alternativo 1	fonto EO alternativo 2	EO alternativo 2	fonto EO alternativo 2	NL type	NL aanbevolen term	NL %	bron NL	alt 1 bron NL	alt 2 bron NL	NL alternatief	betrouwbare bron NL alt	FR type	FR terme conseillé	Accepté	source 1 FR conseillé	source 2 FR conseillé	source 3 FR conseillé	FR alternative	source FR alternative	PL tipo	Pola konsilinda termino	fonto PL konsilinda	PL alternativa termino	fonto PL alternativo
			wifi (subst.) 		sendrata reto					vifio	Bertilo	Vikipedio				wifi																			
			wiki (subst.) 		vikio	KompLeks	ReVo									wiki																			
			Wikipedia (subst.) 		Vikipedio	Vikipedio										Wikipedia																			
			wildcard expression (subst.) 		ĵokera esprimo / jxokera esprimo	OOo																													
			wildcard (subst.) 		ĵokero / jxokero	ReVo	Pekoteko	TekVort		ajna signo	KompVort		ajno	Komp. Vortlisto	de	joker		Stichting			wildcard		un	joker											
			wildcard character (subst.) 		ĵokera signo / jxokera signo											jokerteken								caractère générique								Platzhalterzeichen			
			wilf (subst.) 		sencele retumi																			naviguerrer											
			wind (verbo) 		volvi	Bertin																													
			window (subst.) 		fenestro	PIV2002	KompLeks	ReVo	TekVort						het	venster	100%	Microsoft						fenêtre								Fenster			
			window decoration (subst.) 		fenestro-ornamaĵo / fenestro-ornamajxo	KDE																													
			window manager (subst.) 		fenestra agordilo	OOo									de	vensterbeheerder	100%																		
			window manager hints (subst.) 		agordindikoj al la fenestroadministrilo																														
			window resistance (subst.) 		fenestra rezistado	KDE																													
			window system (subst.) 		fenestrosistemo																														
			windowsless mode (subst.) 		enkorpigita fenestro	Wordpress																													
			Windows (subst.) 		Vindozo	KompLeks	ReVo	NL-EO 4	TekVort							Windows																			
			Windows key (Win key) (subst.) 		Vindoza klavo	KDE																													
			Windows user (subst.) 		vindozulo	ReVo									de	Windows-gebruiker																			
			wire (subst.) 		drato	KompBaz	Bertin																												
			wire connected (adj.) 		dratkonektita	KompBaz																													
			wire frame (subst.) 		drata kadro	OOo																													
			wired (subst.) 		drata											bekabeld								câblé								verkabelt			
			wireless (adj.) 		sendrata	KompList										draadloos	100%	Stichting			wireless		adj.	sans fil								drahtlos			
			wireless charging (inductive charging, magnetic charging) (subst.) 		ŝargado per elektromova indukto / sxargado per elektromova indukto	PIV2002																													
			wireless communication (subst.) 		sendrata komunikado											draadloze communicatie								communication sans fil								drahtlose Kommunikation			
			wireless LAN (subst.) 		sendrata reto											draadloos lokaal netwerk								réseau local sans fil								drahtloses LAN			
			wireless network (subst.) 		sendrata reto											draadloos netwerk								réseau sans fil								drahtloses Netzwerk			
			wireless transceiver (subst.) 		sendrata sendricevilo											draadloze zendontvanger								transmetteur sans fil											
			wiring (subst.) 		dratado	Bertin																		câblage											
			wish list (subst.) 		listo de indaĵoj / listo de indajxoj										de	verlanglijst	100%	Van Dale						liste de voeux											
			with one click (subst.) 		per unu alklako											met één klik								d'un clic de souris								mit einem Mausklick			
			wizard (installation) (subst.) 		asistanto	OOo									de	configuratieassistent	100%							assistant d'installation								Assistent			
			WLAN (wireless LAN) (mallon.) 		sendrata reto																														
			wmode (subst.) 		enpaĝa fenestro / enpagxa fenestro	Wordpress																													
			word break (subst.) 		vorta salto	OOo																	un	saut de mot											
			word completion (subst.) 		vortkompletigo	OOo																	une	complétion de mots		traduc.org									
			word count (subst.) 		vortnombrado																		un	compte de mots											
			word length (subst.) 		vortlongo	Bertin																													
			word processing (subst.) 		dokumentoredaktado					tekstotraktado	TekVort				de (v)	tekstverwerking		Van Dale					un	traitement de texte								Textverarbeitung			
			word processor (Word, Writer) (subst.) 		dokumentoredaktilo	Vikipedio				verkilo	ReVo	KDE			de	tekstverwerker	100%	Van Dale	Wikipedia					logiciel de traitement de texte								Textverarbeitungsprogramm			
			word symbol (subst.) 		vortosimbolo	TekVort											100%							symbole											
			word wrap (subst.) 		linifaldo	KompLeks	ReVo	TekVort		aŭtomata liniosalto	Pekoteko				de	tekstterugloop		Microsoft						retour automatique à la ligne								Zeilenumbruch			
			work area (subst.) 		laborzono	Maŭro										alternatieve oplossing								zone de travail											
			work environment (subst.) 		labora medio										de	werkomgeving	100%							environnement de travail											
			workaround (work around) (subst.) 		provizora solvo	OOo									de						omweg			solution provisoire											
			workbook (subst.) 		kajero	OOo										werkmap								classeur								Arbeitsmappe			
			workflow (subst.) 		laborfluo	Plone	FEL								de	werkmethode	60%				stroomschema			flux de travaux		traduc.org			circuit de production						
			workgroup (subst.) 		laborgrupo										de	werkgroep	100%	Adobe						groupe de travail								Arbeitsgruppe			
			working area (subst.) 		laborzono	Bertin																		zone de travail											
			working copy (subst.) 		laborkopio	Bertilo																		brouillon											
			working directory (subst.) 		kuranta dosierujo	KompLeks																		répertoire courant											
			working folder (subst.) 		kuranta dosierujo											werkmap								dossier de travail								Arbeitsordner			
			workload (work load) (subst.) 		laborŝarĝo / laborsxargxo	Bertin																		charge de travail											
			workpane (subst.) 		laborpanelo											werkvenster								volet de travail								Arbeitsbereich			
			workplace (subst.) 		laborloko											werkplek								espace de travail								Arbeitsbereich			
			worksheet (subst.) 		laborfolio		FEL								het	werkblad		Microsoft						feuille de calcul								Arbeitsblatt			
			workshop (subst.) 		laborsesio										de (m)	workshop	100%	Van Dale						atelier											
			workspace (subst.) 		laborspaco	OOo									de	werkruimte		Adobe			werkomgeving	VW		espace de travail								Arbeitsbereich			
			workspace editor (subst.) 		laborspaca agordilo											bewerk werkomgeving								configurateur de l'espace de travail											
			workstation (subst.) 		laborstacio	KompLeks	TekVort								het	werkstation								station de travail		traduc.org									
			world factbook (subst.) 		monda faktlibro	KDE																													
			world-wide web (subst.) 		tuttera teksaĵo / tuttera teksajxo	PIV2002	KompLeks	Vikipedio		interreto					het	wereldwijde web							la	toile (d'araignée) mondiale (TAM)	100%	jounal officiel									
			worm (subst.) 		vermo											worm								ver informatique								Wurm			
			wrap off (subst.) 		sen ĉirkaŭfluo / sen cxirkauxfluo	OOo											80%							sans retour à la ligne					changement de champ par tabulation						
			wrap on (subst.) 		kun ĉirkaŭfluo / kun cxirkauxfluo	OOo																		avec retour à la ligne					changement de champ par la touche entrée						
			wrap text (verbo) 		teksta ĉirkaŭfluo / teksta cxirkauxfluo	OOo									de	tekstdoorloop		Microsoft			terugloop			passer automatiquement à la ligne											
			wrapper playlist (subst.) 													afspeellijst met aanvullende inhoud								sélection de wrappers								Wrapperwiedergabeliste			
			wrapping behavior (wrapping behaviour) (subst.) 		ĉirkaŭflua konduto / cxirkauxflua konduto																			gestion des passages à la ligne					gestion des passages de champs						
			writable (adj.) 		skribebla											beschrijfbaar																beschreibbar			
			writable CD (subst.) 		skribebla KD										de	beschrijfbare CD	100%							CD vierge											
			write (CD) (verbo) 		skribi	Bertin										beschrijven (van een CD)	100%						verbe	graver	100%										
			write (text) (verbo) 		verki											schrijven	100%							écrire								schreiben			
			write access (subst.) 		skribaliro											schrijftoegang								accès en écriture								Schreibzugriff			
			write error (verbo) 		skriberaro	OOo																		erreur d'écriture											
			write head (subst.) 		skribkapo	Bertin																		tête d'écriture											
			write only (write-only) (adj.) 		nurskriba											alleen schrijven								en écriture (seule)											
			write protection (write lock-out) (subst.) 		kontraŭskriba protektado / kontrauxskriba protektado	OOo	Bertin																	protection (contre l'écriture)											
			write speed (subst.) 		skriborapido																			vitesse (d'écriture)											
			write speed test (subst.) 		testo de skriborapido																			test de vitesse (d'écriture)											
			writeable disc (subst.) 		skribebla disko											beschrijfbare schijf								disque inscriptible								beschreibbarer Datenträger			
			write-access (subst.) 		registro-aliro										de	schrijftoegang		ICT VNU						accès en écriture											
			write-protected (adj.) 		kontraŭskribe protektita / kontrauxskribe protektita											beschermd tegen schrijven								protégé en écriture								schreibgeschützt			
			writing area (subst.) 		skribzono					skribregiono						schrijfgebied								zone d'écriture								Schreibbereich			
			writing pad (subst.) 		skribtabulo					skribsurfaco						schrijfblok								pavé d'écriture								Schreibblock			
